Art;Typ;Anlagennr;SAP-Nr.;Einbauort;Einbau Ur-Weiche;Erneuerung;Stammgleis;Zweiggleis;LETZTE_INSTANDHALTUNG;GW201_ID1
Weiche;Kombiweiche (KW);4017;S-IS-00050-B0020-W4017;Hauptwerkstatt - Hallenzufahrt Süd, Gleis 1;02.05.1982;23.06.2018;050.008: Hallenzufahrt West W4015-Prellbock;050.020: Hallenzufahrt Süd, Gleis 1, W4017 -Halle;;322
Weiche;Kombiweiche (KW);4018;S-IS-00050-B0010-W4018;SSB-Z. / Hauptwerkstatt Umfahrung / West;01.06.1982;23.06.2018;050.005: Gleis Westseite W4009-Prellbock;050.010: GW westl. W4019-W4018;;548
Weiche;Kombiweiche (KW);4019;S-IS-00050-B0010-W4019;SSB-Z. / Hauptwerkstatt Umfahrung / West;01.06.1982;23.06.2018;050.009: Gleis westl. W4020-W4015;050.010: GW westl. W4019-W4018;;324
Weiche;Kombiweiche (KW);4020;S-IS-00050-B0009-W4020;SSB-Z. / Hauptwerkstatt Umfahrung / Süd;02.03.1982;23.06.2018;050.008: Hallenzufahrt West W4015-Prellbock;050.009: Gleis westl. W4020-W4015;;325
Weiche;Kombiweiche (KW);4021;S-IS-00050-B0001-W4021;SSB-Z. / Hauptwerkstatt Umfahrung / Süd;02.03.1982;23.06.2018;050.008: Hallenzufahrt West W4015-Prellbock;050.001: Zufahrtsgleis von Möhringen + Umfahrung W 4005-W402;;550
Weiche;Kombiweiche (KW);4022;S-IS-00050-B0023-W4022;Hauptwerkstatt Abstellgleis Osttor;02.03.1984;23.06.2018;050.021: Abstellgleis Ost;050.023: GW östlich, W4023-W4022;;327
Weiche;Kombiweiche (KW);4023;S-IS-00050-B0023-W4023;SSB-Z. / Hauptwerkstatt Umfahrung / Ost;02.03.1984;23.06.2018;050.001: Zufahrtsgleis von Möhringen + Umfahrung W 4005-W402;050.023: GW östlich, W4023-W4022;;546
Weiche;Kombiweiche (KW);4024;S-IS-00050-B0022-W4024;SSB-Z. / Hauptwerkstatt Umfahrung / Ost;02.03.1984;23.06.2018;050.001: Zufahrtsgleis von Möhringen + Umfahrung W 4005-W402;050.022: Hallenzufahrt Ost, W4025-W4024;;329
Weiche;Kombiweiche (KW);4025;S-IS-00050-B0022-W4025;Hauptwerkstatt / Hallenzufahrt Ost;02.03.1984;23.06.2018;050.021: Abstellgleis Ost;050.022: Hallenzufahrt Ost, W4025-W4024;;330
Weiche;Kombiweiche (KW);4028;S-IS-00050-B0007-W4028;SSB Zentrum / Hauptwerkstatt Nord;02.03.1984;23.06.2018;050.001: Zufahrtsgleis von Möhringen + Umfahrung W 4005-W402;050.007: Verbindung 00006 mit 00001, W4010-W4028;;331
Weiche;Kombiweiche (KW);4029;S-IS-00050-B0004-W4029;SSB Zentrum / Hauptwerkstatt Nord;02.03.1984;23.06.2018;050.001: Zufahrtsgleis von Möhringen + Umfahrung W 4005-W402;050.004: Abstellgleis W4029-W4032;;332
Weiche;Kombiweiche (KW);4031;S-IS-00050-B0026-W4031;SSB Zentrum / Hauptwerkstatt Nord;02.03.1985;23.06.2018;050.001: Zufahrtsgleis von Möhringen + Umfahrung W 4005-W402;050.026: Zufahrtsgeleis W4105-4031;;333
Weiche;Kombiweiche (KW);4032;S-IS-00050-B0004-W4032;SSB Zentrum / Hauptwerkstatt Nord;02.03.1985;23.06.2018;050.001: Zufahrtsgleis von Möhringen + Umfahrung W 4005-W402;050.004: Abstellgleis W4029-W4032;;334
Weiche;Einfache Weiche (EW);4033;S-IS-00050-B0027-W4033;SSB Zentrum / Hauptwerkstatt Nord;02.03.1985;23.06.2018;050.003: Zufahrtsgleis nördlich W4008-W4034;050.027: Verbindung HW-VB2, W4043-W4033;;335
Weiche;Kombiweiche (KW);4034;S-IS-00050-B0003-W4034;SSB-Z. / Hauptwerkstatt Umfahrung / Ost;02.03.1985;23.06.2018;050.001: Zufahrtsgleis von Möhringen + Umfahrung W 4005-W402;050.003: Zufahrtsgleis nördlich W4008-W4034;;336
Weiche;Kombiweiche (KW);4035;S-IS-00050-B0011-W4035;SSB-Z. / Hauptwerkstatt Umfahrung / Süd;02.03.1987;23.06.2018;050.009: Gleis westl. W4020-W4015;050.011: Hallenzufahrt Süd, Gleis 11, W4035 -Halle;;337
Weiche;Innenbogenweiche (IBW);4036;S-IS-00050-B0012-W4036;Hauptwerkstatt / Hallenzufahrt Gleis 11/12;01.05.2003;23.06.2018;050.011: Hallenzufahrt Süd, Gleis 11, W4035 -Halle;050.012: Hallenzufahrt Süd, Gleis 12, W4036 -Halle;;338
Weiche;Kombiweiche (KW);4037;S-IS-00050-B0013-W4037;Hauptwerkstatt Abstellgleis - Buswerkstatt;01.05.2003;23.06.2018;050.008: Hallenzufahrt West W4015-Prellbock;050.013: Hallenzufahrt Süd, Gleis 10a, W4037 -Halle;;547
Weiche;Einfache Weiche (EW);4039;S-IS-00050-B0014-W4039;Hauptwerkstatt Zufahrt Gleis 10/10a;01.06.1995;23.06.2018;050.013: Hallenzufahrt Süd, Gleis 10a, W4037 -Halle;050.014: Hallenzufahrt Süd, Gleis 10, W4039 -Halle;;340
Weiche;Innenbogenweiche (IBW);4040;S-IS-00050-B0029-W4040;SSB-Zentrum / Zufahrt Betriebshof Möhringen;02.03.1988;23.06.2018;050.026: Zufahrtsgeleis W4105-4031;050.029: GW W4040-W4041;;341
Weiche;Außenbogenweiche (ABW);4041;S-IS-00050-B0029-W4041;SSB-Zentrum / Verbindungsgleis Betriebshof Möhringen;02.03.1988;23.06.2018;050.027: Verbindung HW-VB2, W4043-W4033;050.029: GW W4040-W4041;;342
Weiche;Einfache Weiche (EW);4042;S-IS-00050-B0030-W4042;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.027: Verbindung HW-VB2, W4043-W4033;050.030: Zufahrt Gleisharfe W4042-W4046;;343
